"expr","time","model","times"
"des",48267372149,"DES (10mil)",48.267372149
"des",47688443184,"DES (10mil)",47.688443184
"des",48002260043,"DES (10mil)",48.002260043
"des",47750382671,"DES (10mil)",47.750382671
"des",48426333920,"DES (10mil)",48.42633392
"des",48772956980,"DES (10mil)",48.77295698
"des",47922286368,"DES (10mil)",47.922286368
"des",48219955223,"DES (10mil)",48.219955223
"des",48194735151,"DES (10mil)",48.194735151
"des",48697124604,"DES (10mil)",48.697124604
"des",48319550427,"DES (10mil)",48.319550427
"des",48650773614,"DES (10mil)",48.650773614
"des",48556405997,"DES (10mil)",48.556405997
"des",48453027365,"DES (10mil)",48.453027365
"des",47888101663,"DES (10mil)",47.888101663
"des",48853508658,"DES (10mil)",48.853508658
"des",48577008412,"DES (10mil)",48.577008412
"des",48383512788,"DES (10mil)",48.383512788
"des",48133645180,"DES (10mil)",48.13364518
"des",48684268572,"DES (10mil)",48.684268572
"des",48781648670,"DES (10mil)",48.78164867
"des",48202068058,"DES (10mil)",48.202068058
"des",48384012839,"DES (10mil)",48.384012839
"des",48111960772,"DES (10mil)",48.111960772
"des",48132953397,"DES (10mil)",48.132953397
"des",48477987973,"DES (10mil)",48.477987973
"des",48424268764,"DES (10mil)",48.424268764
"des",48223865937,"DES (10mil)",48.223865937
"des",48720102096,"DES (10mil)",48.720102096
"des",48558574705,"DES (10mil)",48.558574705
"des",48543916203,"DES (10mil)",48.543916203
"des",48168548838,"DES (10mil)",48.168548838
"des",47677827167,"DES (10mil)",47.677827167
"des",48308315951,"DES (10mil)",48.308315951
"des",48265909434,"DES (10mil)",48.265909434
"des",48447258949,"DES (10mil)",48.447258949
"des",48209982290,"DES (10mil)",48.20998229
"des",49066935219,"DES (10mil)",49.066935219
"des",48859507173,"DES (10mil)",48.859507173
"des",47355912233,"DES (10mil)",47.355912233
"des",47952075151,"DES (10mil)",47.952075151
"des",49818730867,"DES (10mil)",49.818730867
"des",47548363861,"DES (10mil)",47.548363861
"des",48296630445,"DES (10mil)",48.296630445
"des",48143953393,"DES (10mil)",48.143953393
"des",49022607535,"DES (10mil)",49.022607535
"des",48887654522,"DES (10mil)",48.887654522
