"ICER","NMB","dCOST.ref","dCOST.test","dQALY.ref","dQALY.test","job","model"
-15924.6051582097,-83.9946429768118,6430.43692828453,7027.30136420388,21.3181479683307,21.3232766662602,5.5,"micro_d"
2285.56942668721,25.0276589990099,6250.30733234841,6830.06757122949,21.3357464410618,21.3417943200406,1,"micro_y"
28199.3493163401,-158.469965789098,6423.1487222867,7019.89140358101,21.3191223749557,21.3235051021107,5.5,"micro_corr_m"
-4880.22488199185,-295.565580705258,6313.43544957789,6911.08692236578,21.3199069030459,21.3229277619667,1,"micro_corr_y"
